Provinsi,2013,2014,2015,2016,2017,2018,2019,2020
ACEH,1550000.00,1750000.00,1900000.00,2118500.00,2500000.00,2700000.00,2916810.00,3165031.00
SUMATERA UTARA,1375000.00,1505850.00,1625000.00,1811875.00,1961354.00,2132189.00,2303403.00,2499423.00
SUMATERA BARAT,1350000.00,1490000.00,1615000.00,1800725.00,1949284.00,2119067.00,2289220.00,2484041.00
RIAU,1400000.00,1700000.00,1878000.00,2095000.00,2266722.00,2464154.00,2662026.00,2888564.00
JAMBI,1300000.00,1502300.00,1710000.00,1906650.00,2063000.00,2243719.00,2423889.00,2630162.00
SUMATERA SELATAN,1630000.00,1825000.00,1974346.00,2206000.00,2388000.00,2595995.00,2804453.00,3043111.00
BENGKULU,1200000.00,1350000.00,1500000.00,1605000.00,1737412.00,1888741.00,2040407.00,2213604.00
LAMPUNG,1150000.00,1399037.00,1581000.00,1763000.00,1908447.00,2074673.00,2241270.00,2432002.00
KEP. BANGKA BELITUNG,1265000.00,1640000.00,2100000.00,2341500.00,2538673.00,2755444.00,2976706.00,3230024.00
KEP. RIAU,1365087.00,1665000.00,1954000.00,2178710.00,2358454.00,2563875.00,2769754.00,3005460.00
DKI JAKARTA,2200000.00,2441000.00,2700000.00,3100000.00,3355750.00,3648036.00,3940973.00,4276350.00
JAWA BARAT,850000.00,1000000.00,1000000.00,2250000.00,1420624.00,1544361.00,1668373.00,1810351.00
JAWA TENGAH,830000.00,910000.00,910000.00,-,1367000.00,1486065.00,1605396.00,1742015.00
DI YOGYAKARTA,947114.00,988500.00,988500.00,-,1337645.00,1454154.00,1570923.00,1704608.00
JAWA TIMUR,866250.00,1000000.00,1000000.00,-,1388000.00,1508895.00,1630059.00,1768777.00
BANTEN,1170000.00,1325000.00,1600000.00,1784000.00,1931180.00,2099385.00,2267990.00,2460997.00
BALI,1181000.00,1542600.00,1621172.00,1807600.00,1956727.00,2127157.00,2297969.00,2494000.00
NUSA TENGGARA BARAT,1100000.00,1210000.00,1330000.00,1482950.00,1482950.00,1825000.00,2012610.00,2183883.00
NUSA TENGGARA TIMUR,1010000.00,1150000.00,1250000.00,1425000.00,1425000.00,1660000.00,1795000.00,1950000.00
KALIMANTAN BARAT,1060000.00,1380000.00,1560000.00,1739400.00,1882900.00,2046900.00,2211500.00,2399699.00
KALIMANTAN TENGAH,1553127.00,1723970.00,1896367.00,2057558.00,2227307.00,2421305.00,2663435.00,2903145.00
KALIMANTAN SELATAN,1337500.00,1620000.00,1870000.00,2085050.00,2258000.00,2454671.00,2651782.00,2877449.00
KALIMANTAN TIMUR,1752073.00,1886315.00,2026126.00,2161253.00,2354800.00,2543332.00,2747561.00,2981379.00
KALIMANTAN UTARA,-,-,2026126.00,2175340.00,2358800.00,2559903.00,2765463.00,3000804.00
SULAWESI UTARA,1550000.00,1900000.00,2150000.00,2400000.00,2598000.00,2824286.00,3051076.00,3310723.00
SULAWESI TENGAH,995000.00,1250000.00,1500000.00,1670000.00,1807775.00,1965232.00,2123040.00,2303711.00
SULAWESI SELATAN,1440000.00,1800000.00,2000000.00,2250000.00,2435625.00,2647767.00,2860382.00,3103800.00
SULAWESI TENGGARA,1125207.00,1400000.00,1652000.00,1850000.00,2002625.00,2177052.00,2351870.00,2552015.00
GORONTALO,1175000.00,1325000.00,1600000.00,1875000.00,2030000.00,2206813.00,2384020.00,2788826.00
SULAWESI BARAT,1165000.00,1400000.00,1655500.00,1864000.00,2017780.00,2193530.00,2381000.00,2678863.00
MALUKU,1275000.00,1415000.00,1650000.00,1775000.00,1925000.00,2222220.00,2400664.00,2604961.00
MALUKU UTARA,1200622.00,1440746.00,1577617.00,1681266.00,1975000.00,2320803.00,2508091.00,2721530.00
PAPUA BARAT,1720000.00,1870000.00,2015000.00,2237000.00,2421500.00,2667000.00,2934500.00,3134600.00
PAPUA,1710000.00,2040000.00,2193000.00,2435000.00,2663646.00,3000000.00,3240900.00,3516700.00
INDONESIA,1296908.00,1584391.00,1790342.00,1997819.00,2020500.00,2268874.00,2455662.00,2672371.00
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
